review_type,sort_type,writing_date,star_rating,comment,upvote,downvote,site
viewer,like,2019.06.14. 09:09,별점(10점 만점 중)1,기대했는데 완전 실망. 개연성이 상당히 떨어지고 우연에 기대 극을 전개. 지루했는데 옆에 있던 아저씨는 푹 주무셨음,61,38,naver
viewer,like,2019.05.31. 22:27,별점(10점 만점 중)10,영화가끝나고 깊은탄식이....한참을 일어날수없었어요,37,15,naver
viewer,like,2020.05.20. 10:13,별점(10점 만점 중)9,"상상 같은 현실, 현실 같은 상상",39,17,naver
viewer,like,2019.05.31. 08:38,별점(10점 만점 중)10,다른 어떤배우보다가정부 이정은씨  연기가 최고인듯,22,1,naver
viewer,like,2019.06.10. 17:39,별점(10점 만점 중)10,으잉?!했던. 지하에 사시는 아저씨가 너무 무서워요.,24,3,naver
viewer,like,2020.02.14. 13:41,별점(10점 만점 중)8,"다들 연기력으론 비교할 수 없지만, 이 기묘하고 찝찝한 감정을 불러일으키는 것의 8할은 이정은 배우 덕분이라고 생각함. 그전까진 어찌보면 무던하면서 약간의 유머가 있는 전개였는데, 비 오는 날 밤 인터폰을 누르면서부터 시작된 그 느낌은.... 정말 ...",25,4,naver
viewer,like,2019.06.04. 23:35,별점(10점 만점 중)6,봉준호 감독 영화들의 결말들이 너무 싫다. 영화 자체로서는 재밌거나 작품성이 있을진 몰라도 기택의 입장으로 살아가는 사람ㅇㅔ게는 무정한 현실에 안주하고 살라는 의미처럼 느껴진다. 슬프고 좌절감이 느껴저서 이제 그의 영화는 안보고싶어졌다.,27,6,naver
viewer,like,2019.06.13. 07:31,별점(10점 만점 중)6,생각보다고는별로였습니다,33,12,naver
viewer,like,2019.06.03. 16:41,별점(10점 만점 중)4,기대치 이하여서 실망하였음,36,15,naver
viewer,like,2019.06.08. 09:53,별점(10점 만점 중)1,기대이하기대이하기대이하기대이하기대이하기대이하,46,25,naver
viewer,like,2019.06.06. 20:32,별점(10점 만점 중)6,기분나쁜 영화  인듯하네요,21,2,naver
viewer,like,2019.07.01. 02:13,별점(10점 만점 중)10,다시 보고 싶지만 다시 보고 싶지 않은 영화,22,3,naver
viewer,like,2019.06.16. 12:13,별점(10점 만점 중)8,물과 기름처럼 섞일 수 없는 신분의 차이..,23,4,naver
viewer,like,2022.07.17. 01:59,별점(10점 만점 중)10,명작! 재미있게 봤습니더,28,9,naver
viewer,like,2019.05.31. 00:12,별점(10점 만점 중)8,해외수상작이라 평범하지않은 줄거리일꺼라곤 예상했지만 미성년자딸이랑 보기엔곤란함,18,0,naver
viewer,like,2019.06.02. 20:02,별점(10점 만점 중)9,내가 돌들고 뛰어다닌것같이 피곤하다.,19,1,naver
